yy,mm,dd,hh,mi,ss,seq,theTime,logID,clientIP,requestor,server,dbname,access,elapsed,busy,rows,statement,error,errorMessage,isvisible
2020,12,29,20,7,15,2499059363,12/29/2020 8:07:16 PM,2175,36.231.205.162,skyserver.sdss.org,SDSS4F,BestDR15,Skyserver.Search.SQL,12.323,0.209,500000,"SELECT TOP 500000  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median AS mMass, pcam.mstellar_err AS mMerr,  mp3d.log_Mass AS mpMass, mp3d.e_log_Mass AS mpMerr,  mp3d.log_Mass_gas AS mpMassGas, mp3d.e_log_Mass_gas AS mpMGerr,  pcam.vdisp_median AS mVD, pcam.vdisp_err AS mVDerr,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift AS mp_z, s.z AS Sredshift, pz.z AS Predshift, s.zErr AS SredshiftErr,  nsa.sersic_n,  nsa.sersic_absmag_r AS AbsMag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50 AS specSFR, g.sfr_tot_p50 AS SFR,  COUNT(*) as CNT FROM mangaPipe3D as mp3d  JOIN mangaDAPall as mdap on mdap.objra = mp3d.objra AND mdap.objdec = mp3d.objdec  JOIN mangatarget as mtar on mtar.mangaID = mtar.mangaID  JOIN nsatlas as nsa on nsa.nsaid = mtar.nsa_nsaid  JOIN SpecObjAll as s on s.z = nsa.z  JOIN stellarMassPCAWiscM11 as pcam on pcam.specObjID = s.specObjID  JOIN photoz as pz on pz.objID = s.bestObjID  JOIN zooSpec as z on z.specobjid = s.specObjID  JOIN galSpecExtra as g on g.specObjID = s.specObjID  JOIN PhotoObjAll as p on p.objID = s.bestObjID WHERE   s.z BETWEEN 0.00 AND 0.15  AND p.devRadErr_r BETWEEN 0.00000000000000000001 AND 100  AND p.devRad_r > 0  AND p.fracDev_r > 0.9  AND Z.p_cs_debiased <= 0.3  AND z.elliptical = 1  AND s.class = 'galaxy'  AND nsa.sersic_ba > 0.85  AND s.velDisp > 0  AND pcam.vdisp_median > 0  AND pcam.mstellar_median >= 10.4  AND pcam.warning = 0  AND g.specsfr_tot_p50 > -9999  AND g.sfr_tot_p50 > -9999  AND nsa.sersic_n BETWEEN 3 AND 5.5  AND nsa.sersic_absmag_r > -23  AND mp3d.log_Mass_gas > 0  AND mp3d.e_log_Mass_gas > 0 GROUP BY  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median, pcam.mstellar_err,  mp3d.log_Mass, mp3d.e_log_Mass,  mp3d.log_Mass_gas, mp3d.e_log_Mass_gas,  pcam.vdisp_median, pcam.vdisp_err,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift, s.z, pz.z, s.zErr,  nsa.sersic_n,  nsa.sersic_absmag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50, g.sfr_tot_p50 HAVING COUNT (*) > 1",0,,1
2020,12,29,20,4,4,2499059372,12/29/2020 8:04:04 PM,2175,36.231.205.162,skyserver.sdss.org,SDSS4F,BestDR15,Skyserver.Search.SQL,11.446,0.173,500000,"SELECT TOP 500000  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median AS mMass, pcam.mstellar_err AS mMerr,  mp3d.log_Mass AS mpMass, mp3d.e_log_Mass AS mpMerr,  mp3d.log_Mass_gas AS mpMassGas, mp3d.e_log_Mass_gas AS mpMGerr,  pcam.vdisp_median AS mVD, pcam.vdisp_err AS mVDerr,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift AS mp_z, s.z AS Sredshift, pz.z AS Predshift, s.zErr AS SredshiftErr,  nsa.sersic_n,  nsa.sersic_absmag_r AS AbsMag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50 AS specSFR, g.sfr_tot_p50 AS SFR,  COUNT(*) as CNT FROM mangaPipe3D as mp3d  JOIN mangaDAPall as mdap on mdap.objra = mp3d.objra AND mdap.objdec = mp3d.objdec  JOIN mangatarget as mtar on mtar.mangaID = mtar.mangaID  JOIN nsatlas as nsa on nsa.nsaid = mtar.nsa_nsaid  JOIN SpecObjAll as s on s.z = nsa.z  JOIN stellarMassPCAWiscM11 as pcam on pcam.specObjID = s.specObjID  JOIN photoz as pz on pz.objID = s.bestObjID  JOIN zooSpec as z on z.specobjid = s.specObjID  JOIN galSpecExtra as g on g.specObjID = s.specObjID  JOIN PhotoObjAll as p on p.objID = s.bestObjID WHERE   s.z BETWEEN 0.00 AND 0.15  AND p.devRadErr_r BETWEEN 0.00000000000000000001 AND 100  AND p.devRad_r > 0  AND p.fracDev_r > 0.9  AND Z.p_cs_debiased <= 0.3  AND z.elliptical = 1  AND s.class = 'galaxy'  AND nsa.sersic_ba > 0.85  AND s.velDisp > 0  AND pcam.vdisp_median > 0  AND pcam.mstellar_median >= 10.4  AND pcam.warning = 0  AND g.specsfr_tot_p50 > -9999  AND g.sfr_tot_p50 > -9999  AND nsa.sersic_n BETWEEN 3 AND 5.5  AND nsa.sersic_absmag_r > -23  AND mp3d.log_Mass_gas > 0  AND mp3d.e_log_Mass_gas > 0 GROUP BY  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median, pcam.mstellar_err,  mp3d.log_Mass, mp3d.e_log_Mass,  mp3d.log_Mass_gas, mp3d.e_log_Mass_gas,  pcam.vdisp_median, pcam.vdisp_err,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift, s.z, pz.z, s.zErr,  nsa.sersic_n,  nsa.sersic_absmag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50, g.sfr_tot_p50 HAVING COUNT (*) > 1",0,,1
2020,12,29,20,3,58,2499059373,12/29/2020 8:03:59 PM,2175,36.231.205.162,skyserver.sdss.org,SDSS4F,BestDR15,Skyserver.Search.SQL,5.116,0.055,2000,"SELECT TOP 2000  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median AS mMass, pcam.mstellar_err AS mMerr,  mp3d.log_Mass AS mpMass, mp3d.e_log_Mass AS mpMerr,  mp3d.log_Mass_gas AS mpMassGas, mp3d.e_log_Mass_gas AS mpMGerr,  pcam.vdisp_median AS mVD, pcam.vdisp_err AS mVDerr,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift AS mp_z, s.z AS Sredshift, pz.z AS Predshift, s.zErr AS SredshiftErr,  nsa.sersic_n,  nsa.sersic_absmag_r AS AbsMag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50 AS specSFR, g.sfr_tot_p50 AS SFR,  COUNT(*) as CNT FROM mangaPipe3D as mp3d  JOIN mangaDAPall as mdap on mdap.objra = mp3d.objra AND mdap.objdec = mp3d.objdec  JOIN mangatarget as mtar on mtar.mangaID = mtar.mangaID  JOIN nsatlas as nsa on nsa.nsaid = mtar.nsa_nsaid  JOIN SpecObjAll as s on s.z = nsa.z  JOIN stellarMassPCAWiscM11 as pcam on pcam.specObjID = s.specObjID  JOIN photoz as pz on pz.objID = s.bestObjID  JOIN zooSpec as z on z.specobjid = s.specObjID  JOIN galSpecExtra as g on g.specObjID = s.specObjID  JOIN PhotoObjAll as p on p.objID = s.bestObjID WHERE   s.z BETWEEN 0.00 AND 0.15  AND p.devRadErr_r BETWEEN 0.00000000000000000001 AND 100  AND p.devRad_r > 0  AND p.fracDev_r > 0.9  AND Z.p_cs_debiased <= 0.3  AND z.elliptical = 1  AND s.class = 'galaxy'  AND nsa.sersic_ba > 0.85  AND s.velDisp > 0  AND pcam.vdisp_median > 0  AND pcam.mstellar_median >= 10.4  AND pcam.warning = 0  AND g.specsfr_tot_p50 > -9999  AND g.sfr_tot_p50 > -9999  AND nsa.sersic_n BETWEEN 3 AND 5.5  AND nsa.sersic_absmag_r > -23  AND mp3d.log_Mass_gas > 0  AND mp3d.e_log_Mass_gas > 0 GROUP BY  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median, pcam.mstellar_err,  mp3d.log_Mass, mp3d.e_log_Mass,  mp3d.log_Mass_gas, mp3d.e_log_Mass_gas,  pcam.vdisp_median, pcam.vdisp_err,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift, s.z, pz.z, s.zErr,  nsa.sersic_n,  nsa.sersic_absmag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50, g.sfr_tot_p50 HAVING COUNT (*) > 1",0,,1
2020,12,29,20,2,10,2499059374,12/29/2020 8:02:11 PM,2175,36.231.205.162,skyserver.sdss.org,SDSS4F,BestDR15,Skyserver.Search.SQL,10.98,0.194,500000,"SELECT TOP 500000  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median AS mMass, pcam.mstellar_err AS mMerr,  mp3d.log_Mass AS mpMass, mp3d.e_log_Mass AS mpMerr,  mp3d.log_Mass_gas AS mpMassGas, mp3d.e_log_Mass_gas AS mpMGerr,  pcam.vdisp_median AS mVD, pcam.vdisp_err AS mVDerr,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift AS mp_z, s.z AS Sredshift, pz.z AS Predshift, s.zErr AS SredshiftErr,  nsa.sersic_n,  nsa.sersic_absmag_r AS AbsMag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50 AS specSFR, g.sfr_tot_p50 AS SFR,  COUNT(*) as CNT FROM mangaPipe3D as mp3d  JOIN mangaDAPall as mdap on mdap.objra = mp3d.objra AND mdap.objdec = mp3d.objdec  JOIN mangatarget as mtar on mtar.mangaID = mtar.mangaID  JOIN nsatlas as nsa on nsa.nsaid = mtar.nsa_nsaid  JOIN SpecObjAll as s on s.z = nsa.z  JOIN stellarMassPCAWiscM11 as pcam on pcam.specObjID = s.specObjID  JOIN photoz as pz on pz.objID = s.bestObjID  JOIN zooSpec as z on z.specobjid = s.specObjID  JOIN galSpecExtra as g on g.specObjID = s.specObjID  JOIN PhotoObjAll as p on p.objID = s.bestObjID WHERE   s.z BETWEEN 0.00 AND 0.15  AND p.devRadErr_r BETWEEN 0.00000000000000000001 AND 100  AND p.devRad_r > 0  AND p.fracDev_r > 0.9  AND Z.p_cs_debiased <= 0.3  AND z.elliptical = 1  AND s.class = 'galaxy'  AND nsa.sersic_ba > 0.85  AND s.velDisp > 0  AND pcam.vdisp_median > 0  AND pcam.mstellar_median >= 10.4  AND pcam.warning = 0  AND g.specsfr_tot_p50 > -9999  AND g.sfr_tot_p50 > -9999  AND nsa.sersic_n BETWEEN 3 AND 5.5  AND nsa.sersic_absmag_r > -23  AND mp3d.log_Mass_gas > 0  AND mp3d.e_log_Mass_gas > 0 GROUP BY  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median, pcam.mstellar_err,  mp3d.log_Mass, mp3d.e_log_Mass,  mp3d.log_Mass_gas, mp3d.e_log_Mass_gas,  pcam.vdisp_median, pcam.vdisp_err,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift, s.z, pz.z, s.zErr,  nsa.sersic_n,  nsa.sersic_absmag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50, g.sfr_tot_p50 HAVING COUNT (*) > 1",0,,1
2020,12,29,19,51,39,2499059409,12/29/2020 7:51:40 PM,2175,36.231.205.162,skyserver.sdss.org,SDSS4F,BestDR15,Skyserver.Search.SQL,5.856,0.079,2000,"SELECT TOP 2000  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median AS mMass, pcam.mstellar_err AS mMerr,  mp3d.log_Mass AS mpMass, mp3d.e_log_Mass AS mpMerr,  mp3d.log_Mass_gas AS mpMassGas, mp3d.e_log_Mass_gas AS mpMGerr,  pcam.vdisp_median AS mVD, pcam.vdisp_err AS mVDerr,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift AS mp_z, s.z AS Sredshift, pz.z AS Predshift, s.zErr AS SredshiftErr,  nsa.sersic_n,  nsa.sersic_absmag_r AS AbsMag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50 AS specSFR, g.sfr_tot_p50 AS SFR,  COUNT(*) as CNT FROM mangaPipe3D as mp3d  JOIN mangaDAPall as mdap on mdap.objra = mp3d.objra AND mdap.objdec = mp3d.objdec  JOIN mangatarget as mtar on mtar.mangaID = mtar.mangaID  JOIN nsatlas as nsa on nsa.nsaid = mtar.nsa_nsaid  JOIN SpecObjAll as s on s.z = nsa.z  JOIN stellarMassPCAWiscM11 as pcam on pcam.specObjID = s.specObjID  JOIN photoz as pz on pz.objID = s.bestObjID  JOIN zooSpec as z on z.specobjid = s.specObjID  JOIN galSpecExtra as g on g.specObjID = s.specObjID  JOIN PhotoObjAll as p on p.objID = s.bestObjID WHERE   s.z BETWEEN 0.00 AND 0.15  AND p.devRadErr_r BETWEEN 0.00000000000000000001 AND 100  AND p.devRad_r > 0  AND p.fracDev_r > 0.9  AND Z.p_cs_debiased <= 0.3  AND z.elliptical = 1  AND s.class = 'galaxy'  AND nsa.sersic_ba > 0.85  AND s.velDisp > 0  AND pcam.vdisp_median > 0  AND pcam.mstellar_median >= 10.4  AND pcam.warning = 0  AND g.specsfr_tot_p50 > -9999  AND g.sfr_tot_p50 > -9999  AND nsa.sersic_n BETWEEN 3 AND 5.5  AND nsa.sersic_absmag_r > -23  AND mp3d.log_Mass_gas > 0  AND mp3d.e_log_Mass_gas > 0 GROUP BY  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median, pcam.mstellar_err,  mp3d.log_Mass, mp3d.e_log_Mass,  mp3d.log_Mass_gas, mp3d.e_log_Mass_gas,  pcam.vdisp_median, pcam.vdisp_err,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift, s.z, pz.z, s.zErr,  nsa.sersic_n,  nsa.sersic_absmag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50, g.sfr_tot_p50",0,,1
2020,12,29,19,51,28,2499059410,12/29/2020 7:51:29 PM,2175,36.231.205.162,skyserver.sdss.org,SDSS4F,BestDR15,Skyserver.Search.SQL,5.833,0.074,2000,"SELECT TOP 2000  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median AS mMass, pcam.mstellar_err AS mMerr,  mp3d.log_Mass AS mpMass, mp3d.e_log_Mass AS mpMerr,  mp3d.log_Mass_gas AS mpMassGas, mp3d.e_log_Mass_gas AS mpMGerr,  pcam.vdisp_median AS mVD, pcam.vdisp_err AS mVDerr,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift AS mp_z, s.z AS Sredshift, pz.z AS Predshift, s.zErr AS SredshiftErr,  nsa.sersic_n,  nsa.sersic_absmag_r AS AbsMag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50 AS specSFR, g.sfr_tot_p50 AS SFR,  COUNT(*) as CNT FROM mangaPipe3D as mp3d  JOIN mangaDAPall as mdap on mdap.objra = mp3d.objra AND mdap.objdec = mp3d.objdec  JOIN mangatarget as mtar on mtar.mangaID = mtar.mangaID  JOIN nsatlas as nsa on nsa.nsaid = mtar.nsa_nsaid  JOIN SpecObjAll as s on s.z = nsa.z  JOIN stellarMassPCAWiscM11 as pcam on pcam.specObjID = s.specObjID  JOIN photoz as pz on pz.objID = s.bestObjID  JOIN zooSpec as z on z.specobjid = s.specObjID  JOIN galSpecExtra as g on g.specObjID = s.specObjID  JOIN PhotoObjAll as p on p.objID = s.bestObjID WHERE   s.z BETWEEN 0.00 AND 0.15  AND p.devRadErr_r BETWEEN 0.00000000000000000001 AND 100  AND p.devRad_r > 0  AND p.fracDev_r > 0.9  AND Z.p_cs_debiased <= 0.3  AND z.elliptical = 1  AND s.class = 'galaxy'  AND nsa.sersic_ba > 0.85  AND s.velDisp > 0  AND pcam.vdisp_median > 0  AND pcam.mstellar_median >= 10.4  AND pcam.warning = 0  AND g.specsfr_tot_p50 > -9999  AND g.sfr_tot_p50 > -9999  AND nsa.sersic_n BETWEEN 3 AND 5.5  AND nsa.sersic_absmag_r > -23  AND mp3d.log_Mass_gas > 0  AND mp3d.e_log_Mass_gas > 0 GROUP BY  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median, pcam.mstellar_err,  mp3d.log_Mass, mp3d.e_log_Mass,  mp3d.log_Mass_gas, mp3d.e_log_Mass_gas,  pcam.vdisp_median, pcam.vdisp_err,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift, s.z, pz.z, s.zErr,  nsa.sersic_n,  nsa.sersic_absmag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50, g.sfr_tot_p50",0,,1
2020,12,29,19,49,38,2499059414,12/29/2020 7:49:38 PM,2175,36.231.205.162,skyserver.sdss.org,SDSS4F,BestDR15,Skyserver.Search.SQL,12.213,0.213,500000,"SELECT TOP 500000  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median AS mMass, pcam.mstellar_err AS mMerr,  mp3d.log_Mass AS mpMass, mp3d.e_log_Mass AS mpMerr,  mp3d.log_Mass_gas AS mpMassGas, mp3d.e_log_Mass_gas AS mpMGerr,  pcam.vdisp_median AS mVD, pcam.vdisp_err AS mVDerr,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift AS mp_z, s.z AS Sredshift, pz.z AS Predshift, s.zErr AS SredshiftErr,  nsa.sersic_n,  nsa.sersic_absmag_r AS AbsMag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50 AS specSFR, g.sfr_tot_p50 AS SFR,  COUNT(*) as CNT FROM mangaPipe3D as mp3d  JOIN mangaDAPall as mdap on mdap.objra = mp3d.objra AND mdap.objdec = mp3d.objdec  JOIN mangatarget as mtar on mtar.mangaID = mtar.mangaID  JOIN nsatlas as nsa on nsa.nsaid = mtar.nsa_nsaid  JOIN SpecObjAll as s on s.z = nsa.z  JOIN stellarMassPCAWiscM11 as pcam on pcam.specObjID = s.specObjID  JOIN photoz as pz on pz.objID = s.bestObjID  JOIN zooSpec as z on z.specobjid = s.specObjID  JOIN galSpecExtra as g on g.specObjID = s.specObjID  JOIN PhotoObjAll as p on p.objID = s.bestObjID WHERE   s.z BETWEEN 0.00 AND 0.15  AND p.devRadErr_r BETWEEN 0.00000000000000000001 AND 100  AND p.devRad_r > 0  AND p.fracDev_r > 0.9  AND Z.p_cs_debiased <= 0.3  AND z.elliptical = 1  AND s.class = 'galaxy'  AND nsa.sersic_ba > 0.85  AND s.velDisp > 0  AND pcam.vdisp_median > 0  AND pcam.mstellar_median >= 10.4  AND pcam.warning = 0  AND g.specsfr_tot_p50 > -9999  AND g.sfr_tot_p50 > -9999  AND nsa.sersic_n BETWEEN 3 AND 5.5  AND nsa.sersic_absmag_r > -23  AND mp3d.log_Mass_gas > 0  AND mp3d.e_log_Mass_gas > 0 GROUP BY  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median, pcam.mstellar_err,  mp3d.log_Mass, mp3d.e_log_Mass,  mp3d.log_Mass_gas, mp3d.e_log_Mass_gas,  pcam.vdisp_median, pcam.vdisp_err,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift, s.z, pz.z, s.zErr,  nsa.sersic_n,  nsa.sersic_absmag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50, g.sfr_tot_p50",0,,1
2020,12,29,19,48,6,2499059422,12/29/2020 7:48:06 PM,2175,36.231.205.162,skyserver.sdss.org,SDSS4F,BestDR15,Skyserver.Search.SQL,11.376,0.186,500000,"SELECT TOP 500000  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median AS mMass, pcam.mstellar_err AS mMerr,  mp3d.log_Mass AS mpMass, mp3d.e_log_Mass AS mpMerr,  mp3d.log_Mass_gas AS mpMassGas, mp3d.e_log_Mass_gas AS mpMGerr,  pcam.vdisp_median AS mVD, pcam.vdisp_err AS mVDerr,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift AS mp_z, s.z AS Sredshift, pz.z AS Predshift, s.zErr AS SredshiftErr,  nsa.sersic_n,  nsa.sersic_absmag_r AS AbsMag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50 AS specSFR, g.sfr_tot_p50 AS SFR,  COUNT(*) as CNT FROM mangaPipe3D as mp3d  JOIN mangaDAPall as mdap on mdap.objra = mp3d.objra AND mdap.objdec = mp3d.objdec  JOIN mangatarget as mtar on mtar.mangaID = mtar.mangaID  JOIN nsatlas as nsa on nsa.nsaid = mtar.nsa_nsaid  JOIN SpecObjAll as s on s.z = nsa.z  JOIN stellarMassPCAWiscM11 as pcam on pcam.specObjID = s.specObjID  JOIN photoz as pz on pz.objID = s.bestObjID  JOIN zooSpec as z on z.specobjid = s.specObjID  JOIN galSpecExtra as g on g.specObjID = s.specObjID  JOIN PhotoObjAll as p on p.objID = s.bestObjID WHERE   s.z BETWEEN 0.00 AND 0.15  AND p.devRadErr_r BETWEEN 0.00000000000000000001 AND 100  AND p.devRad_r > 0  AND p.fracDev_r > 0.9  AND Z.p_cs_debiased <= 0.3  AND z.elliptical = 1  AND s.class = 'galaxy'  AND nsa.sersic_ba > 0.85  AND s.velDisp > 0  AND pcam.vdisp_median > 0  AND pcam.mstellar_median >= 10.4  AND pcam.warning = 0  AND g.specsfr_tot_p50 > -9999  AND g.sfr_tot_p50 > -9999  AND nsa.sersic_n BETWEEN 3 AND 5.5  AND nsa.sersic_absmag_r > -23  AND mp3d.log_Mass_gas > 0  AND mp3d.e_log_Mass_gas > 0 GROUP BY  p.objID, s.specObjID, mp3d.mangaID, mtar.mangaID,  pcam.mstellar_median, pcam.mstellar_err,  mp3d.log_Mass, mp3d.e_log_Mass,  mp3d.log_Mass_gas, mp3d.e_log_Mass_gas,  pcam.vdisp_median, pcam.vdisp_err,  p.devRad_r, p.devRadErr_r, mp3d.re_arc, mp3d.re_kpc,  mp3d.redshift, s.z, pz.z, s.zErr,  nsa.sersic_n,  nsa.sersic_absmag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50, g.sfr_tot_p50",0,,1
2020,12,29,20,41,15,2499059281,12/29/2020 8:41:16 PM,2175,36.231.205.162,skyserver.sdss.org,SDSS4F,BestDR15,Skyserver.Search.SQL,7.27,0.124,500000,"SELECT TOP 500000  p.objID, s.specObjID,  pcam.mstellar_median AS mMass, pcam.mstellar_err AS mMerr,  pcam.vdisp_median AS mVD, pcam.vdisp_err AS mVDerr,  p.devRad_r, p.devRadErr_r,   s.z AS Sredshift, pz.z AS Predshift, s.zErr AS SredshiftErr,  nsa.sersic_n,  nsa.sersic_absmag_r AS AbsMag_r,  nsa.sersic_ba,   g.specsfr_tot_p50 AS specSFR, g.sfr_tot_p50 AS SFR,  COUNT(*) as CNT FROM mangaPipe3D as mp3d  JOIN mangaDAPall as mdap on mdap.objra = mp3d.objra AND mdap.objdec = mp3d.objdec  JOIN mangatarget as mtar on mtar.mangaID = mtar.mangaID  JOIN nsatlas as nsa on nsa.nsaid = mtar.nsa_nsaid  JOIN SpecObjAll as s on s.z = nsa.z  JOIN stellarMassPCAWiscM11 as pcam on pcam.specObjID = s.specObjID  JOIN photoz as pz on pz.objID = s.bestObjID  JOIN zooSpec as z on z.specobjid = s.specObjID  JOIN galSpecExtra as g on g.specObjID = s.specObjID  JOIN PhotoObjAll as p on p.objID = s.bestObjID WHERE   s.z BETWEEN 0.00 AND 0.15  AND p.devRadErr_r BETWEEN 0.00000000000000000001 AND 100  AND p.devRad_r > 0  AND p.fracDev_r > 0.9  AND Z.p_cs_debiased <= 0.3  AND z.elliptical = 1  AND s.class = 'galaxy'  AND nsa.sersic_ba > 0.85  AND s.velDisp > 0  AND pcam.vdisp_median > 0  AND pcam.mstellar_median >= 10.4  AND pcam.warning = 0  AND g.specsfr_tot_p50 > -9999  AND g.sfr_tot_p50 > -9999  AND nsa.sersic_n BETWEEN 3 AND 5.5  AND nsa.sersic_absmag_r > -23  AND mp3d.log_Mass_gas > 0  AND mp3d.e_log_Mass_gas > 0 GROUP BY  p.objID, s.specObjID,  pcam.mstellar_median, pcam.mstellar_err,  pcam.vdisp_median, pcam.vdisp_err,  p.devRad_r, p.devRadErr_r, s.z, pz.z, s.zErr,  nsa.sersic_n,  nsa.sersic_absmag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50, g.sfr_tot_p50 HAVING COUNT (*) > 1",0,,1
2020,12,29,20,38,17,2499059292,12/29/2020 8:38:18 PM,2175,36.231.205.162,skyserver.sdss.org,SDSS4F,BestDR15,Skyserver.Search.SQL,7.443,0.128,500000,"SELECT TOP 500000  p.objID, s.specObjID,  pcam.mstellar_median AS mMass, pcam.mstellar_err AS mMerr,  pcam.vdisp_median AS mVD, pcam.vdisp_err AS mVDerr,  p.devRad_r, p.devRadErr_r,   s.z AS Sredshift, pz.z AS Predshift, s.zErr AS SredshiftErr,  nsa.sersic_n,  nsa.sersic_absmag_r AS AbsMag_r,  nsa.sersic_ba,   g.specsfr_tot_p50 AS specSFR, g.sfr_tot_p50 AS SFR,  COUNT(*) as CNT FROM mangaPipe3D as mp3d  JOIN mangaDAPall as mdap on mdap.objra = mp3d.objra AND mdap.objdec = mp3d.objdec  JOIN mangatarget as mtar on mtar.mangaID = mtar.mangaID  JOIN nsatlas as nsa on nsa.nsaid = mtar.nsa_nsaid  JOIN SpecObjAll as s on s.z = nsa.z  JOIN stellarMassPCAWiscM11 as pcam on pcam.specObjID = s.specObjID  JOIN photoz as pz on pz.objID = s.bestObjID  JOIN zooSpec as z on z.specobjid = s.specObjID  JOIN galSpecExtra as g on g.specObjID = s.specObjID  JOIN PhotoObjAll as p on p.objID = s.bestObjID WHERE   s.z BETWEEN 0.00 AND 0.15  AND p.devRadErr_r BETWEEN 0.00000000000000000001 AND 100  AND p.devRad_r > 0  AND p.fracDev_r > 0.9  AND Z.p_cs_debiased <= 0.3  AND z.elliptical = 1  AND s.class = 'galaxy'  AND nsa.sersic_ba > 0.85  AND s.velDisp > 0  AND pcam.vdisp_median > 0  AND pcam.mstellar_median >= 10.4  AND pcam.warning = 0  AND g.specsfr_tot_p50 > -9999  AND g.sfr_tot_p50 > -9999  AND nsa.sersic_n BETWEEN 3 AND 5.5  AND nsa.sersic_absmag_r > -23  AND mp3d.log_Mass_gas > 0  AND mp3d.e_log_Mass_gas > 0 GROUP BY  p.objID, s.specObjID,  pcam.mstellar_median, pcam.mstellar_err,  pcam.vdisp_median, pcam.vdisp_err,  p.devRad_r, p.devRadErr_r, s.z, pz.z, s.zErr,  nsa.sersic_n,  nsa.sersic_absmag_r,  nsa.sersic_ba, mp3d.ellip,   g.specsfr_tot_p50, g.sfr_tot_p50 HAVING COUNT (*) > 1",0,,1
